"ID"	"tanggal"	"provinsi"	"bagian"	"brand"	"jenis"	"cust_type"
"89"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"kartuAS"	"Diamond"	"B2C"
"90"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"KartuAS"	"Gold"	"B2C"
"91"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"kartuAS"	"Non HVC"	"B2B"
"92"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"KartuAS"	"Non HVC"	"B2C"
"93"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"kartuAS"	"Platinum"	"B2C"
"94"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"Loop"	"Diamond"	"B2C"
"95"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"LOOP"	"Gold"	"B2C"
"96"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"Loop"	"Non HVC"	"B2B"
"97"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"LOOP"	"Non HVC"	"B2C"
"98"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"LOOP"	"Platinum"	"B2C"
"99"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"simPATI"	"Diamond"	"B2C"
"100"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"simPATI"	"Gold"	"B2C"
"101"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"simPATI"	"Non HVC"	"B2B"
"102"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"simPATI"	"Non HVC"	"B2C"
"103"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"simPATI"	"Platinum"	"B2C"
"104"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKPUSEL"	"UNKNOWN"	"Non HVC"	"B2C"
"105"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"kartuAS"	"Diamond"	"B2C"
"106"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"KartuAS"	"Gold"	"B2C"
"107"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"kartuAS"	"Non HVC"	"B2B"
"108"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"KartuAS"	"Non HVC"	"B2C"
"109"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"KartuAS"	"Platinum"	"B2C"
"110"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"Loop"	"Diamond"	"B2C"
"111"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"LOOP"	"Gold"	"B2C"
"112"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"Loop"	"Non HVC"	"B2B"
"113"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"LOOP"	"Non HVC"	"B2C"
"114"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"LOOP"	"Platinum"	"B2C"
"115"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"simPATI"	"Diamond"	"B2C"
"116"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"simPATI"	"Gold"	"B2C"
"117"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"simPATI"	"Non HVC"	"B2B"
"118"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"simPATI"	"Non HVC"	"B2C"
"119"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 1"	"simPATI"	"Platinum"	"B2C"
"120"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 2"	"kartuAS"	"Diamond"	"B2C"
"121"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 2"	"KartuAS"	"Gold"	"B2C"
"122"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 2"	"kartuAS"	"Non HVC"	"B2B"
"123"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 2"	"kartuAS"	"Non HVC"	"B2C"
"124"	"2020-09-01"	"CENTRALJABOTABEK"	"JAKTIM 2"	"KartuAS"	"Platinum"	"B2C"
