"ID","tanggal","provinsi","bagian","brand","jenis","cust_type"
"1","2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Diamond","B2C"
"2","2020-09-01","BALINUSRA","BALI BARAT","KartuAS","Gold","B2C"
"3","2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Non HVC","B2B"
"4","2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Non HVC","B2C"
"5","2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Platinum","B2C"
"6","2020-09-01","BALINUSRA","BALI BARAT","Loop","Diamond","B2C"
"7","2020-09-01","BALINUSRA","BALI BARAT","LOOP","Gold","B2C"
"8","2020-09-01","BALINUSRA","BALI BARAT","Loop","Non HVC","B2B"
"9","2020-09-01","BALINUSRA","BALI BARAT","Loop","Non HVC","B2C"
"10","2020-09-01","BALINUSRA","BALI BARAT","LOOP","Platinum","B2C"
"11","2020-09-01","BALINUSRA","BALI BARAT","simPATI","Diamond","B2C"
"12","2020-09-01","BALINUSRA","BALI BARAT","simPATI","Gold","B2C"
"13","2020-09-01","BALINUSRA","BALI BARAT","simPATI","Non HVC","B2B"
"14","2020-09-01","BALINUSRA","BALI BARAT","simPATI","Non HVC","B2C"
"15","2020-09-01","BALINUSRA","BALI BARAT","simPATI","Platinum","B2C"
"16","2020-09-01","BALINUSRA","BALI TIMUR","kartuAS","Diamond","B2C"
"17","2020-09-01","BALINUSRA","BALI TIMUR","KartuAS","Gold","B2C"
"18","2020-09-01","BALINUSRA","BALI TIMUR","kartuAS","Non HVC","B2B"
"19","2020-09-01","BALINUSRA","BALI TIMUR","KartuAS","Non HVC","B2C"
"20","2020-09-01","BALINUSRA","BALI TIMUR","KartuAS","Platinum","B2C"
"21","2020-09-01","BALINUSRA","BALI TIMUR","Loop","Diamond","B2C"
"22","2020-09-01","BALINUSRA","BALI TIMUR","LOOP","Gold","B2C"
"23","2020-09-01","BALINUSRA","BALI TIMUR","Loop","Non HVC","B2B"
"24","2020-09-01","BALINUSRA","BALI TIMUR","LOOP","Non HVC","B2C"
"25","2020-09-01","BALINUSRA","BALI TIMUR","Loop","Platinum","B2C"
"26","2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Diamond","B2C"
"27","2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Gold","B2C"
"28","2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Non HVC","B2B"
"29","2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Non HVC","B2C"
"30","2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Platinum","B2C"
"31","2020-09-01","BALINUSRA","BALI TIMUR","UNKNOWN","Non HVC","B2C"
"32","2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Diamond","B2C"
"33","2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Gold","B2C"
"34","2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Non HVC","B2B"
"35","2020-09-01","BALINUSRA","FLORES SUMBA","KartuAS","Non HVC","B2C"
"36","2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Platinum","B2C"
"37","2020-09-01","BALINUSRA","FLORES SUMBA","Loop","Diamond","B2C"
"38","2020-09-01","BALINUSRA","FLORES SUMBA","Loop","Gold","B2C"
"39","2020-09-01","BALINUSRA","FLORES SUMBA","Loop","Non HVC","B2B"
"40","2020-09-01","BALINUSRA","FLORES SUMBA","LOOP","Non HVC","B2C"
"41","2020-09-01","BALINUSRA","FLORES SUMBA","LOOP","Platinum","B2C"
"42","2020-09-01","BALINUSRA","FLORES SUMBA","simPATI","Diamond","B2C"
"43","2020-09-01","BALINUSRA","FLORES SUMBA","simPATI","Gold","B2C"
"44","2020-09-01","BALINUSRA","FLORES SUMBA","simPATI","Non HVC","B2B"
"45","2020-09-01","BALINUSRA","FLORES SUMBA","simPATI","Non HVC","B2C"
"46","2020-09-01","BALINUSRA","FLORES SUMBA","simPATI","Platinum","B2C"
"47","2020-09-01","BALINUSRA","KOTA KUPANG","kartuAS","Diamond","B2C"
"48","2020-09-01","BALINUSRA","KOTA KUPANG","kartuAS","Gold","B2C"
"49","2020-09-01","BALINUSRA","KOTA KUPANG","kartuAS","Non HVC","B2B"
"50","2020-09-01","BALINUSRA","KOTA KUPANG","KartuAS","Non HVC","B2C"
